,MealsOut,SchBkfst_0,SchBkfst_1,SchBkfst_2,SchLunch_0,SchLunch_1,SchLunch_2,NwkLunch,NwkBkfast,Milk30Days,SchMeal,NwkMeals,MilkType,GTot,GRefine,GWhole,VTot,VDrkGr,VRedOrTot,VRedOr,VTomato,VStarchTot,VStarchPot,VStarchOth,VOther,Legume,FTot,FCitMlB,FOther,DTot,DMilk,DYogurt,DCheese,PTot,Pmps,PMeat,PFrank,POrgan,PPoult,PFishLow,PFishHigh,PEgg,PSoy,PNut,Oils,SolidFat,AddSugars,Alcohol
9585,1.0,False,True,False,False,True,False,0.0,5.0,1.0,1.0,1.0,3.0,6.63,5.74,0.89,0.32,0.0,0.0,0.0,0.0,0.32,0.32,0.0,0.0,0.0,1.41,0.05,1.36,0.06,0.04,0.0,0.0,5.78,5.77,0.0,2.1,0.0,3.67,0.0,0.0,0.01,0.0,0.0,20.22,12.66,39.28,0.0
9586,1.0,False,True,False,False,True,False,2.0,5.0,2.0,1.0,3.0,4.0,11.02,11.02,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,1.14,0.0,0.0,0.0,2.08,1.19,0.0,0.89,9.75,9.67,3.34,0.0,0.0,6.33,0.0,0.0,0.08,0.0,0.0,6.99,59.51,2.81,0.0
9587,0.0,False,True,False,False,True,False,2.0,0.0,3.0,1.0,3.0,3.0,4.87,3.06,1.81,0.97,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,15.33,1.67,4.82,2.05,0.0,2.77,7.27,7.03,0.0,0.0,0.0,7.03,0.0,0.0,0.24,0.0,0.0,1.8,50.11,2.69,0.0
9588,2.0,False,False,True,False,False,True,0.0,0.0,1.0,2.0,2.0,4.0,9.4,9.4,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,1.49,1.49,0.0,2.28,0.06,0.0,2.22,7.16,6.65,6.65,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.0,17.98,24.87,22.6,3.17
9589,0.0,False,True,False,False,True,False,5.0,1.0,3.0,1.0,6.0,2.0,4.14,3.72,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.51,6.51,0.0,0.0,0.0,0.0,6.51,0.0,0.0,0.0,4.0,24.34,6.48,1.88,0.0
9590,1.0,False,True,False,False,True,False,5.0,5.0,3.0,1.0,6.0,2.0,5.67,5.67,0.0,0.67,0.23,0.13,0.06,0.01,0.04,0.04,0.0,0.32,0.0,0.18,0.0,0.18,0.66,0.07,0.0,0.59,5.13,4.08,0.39,1.02,0.0,2.67,0.0,0.0,1.04,0.0,0.01,10.73,46.66,19.94,0.0
9591,7.0,False,True,False,False,True,False,5.0,5.0,2.0,1.0,6.0,4.0,11.08,11.08,0.0,1.35,0.0,0.54,0.0,0.54,0.63,0.63,0.0,0.18,0.0,0.11,0.11,0.0,3.38,0.97,0.0,2.41,10.12,6.42,2.96,3.46,0.0,0.0,0.0,0.0,3.7,0.0,0.0,19.68,82.37,26.36,0.33
9592,1.0,False,True,False,False,True,False,5.0,5.0,2.0,1.0,6.0,4.0,5.6,5.6,0.0,1.28,0.0,0.44,0.0,0.44,0.0,0.0,0.0,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,6.49,1.99,0.0,0.0,4.5,0.0,0.0,0.01,0.0,0.0,5.11,36.26,26.13,0.0
9593,2.0,False,True,False,False,True,False,5.0,5.0,1.0,1.0,6.0,4.0,2.64,1.74,0.89,0.14,0.0,0.09,0.0,0.09,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.44,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.81,8.08,21.8,0.0
9594,0.0,False,True,False,False,True,False,1.0,0.0,3.0,1.0,2.0,4.0,4.85,4.36,0.5,2.67,0.0,1.02,0.08,0.86,0.0,0.0,0.0,1.73,0.0,0.0,0.0,0.0,2.9,2.39,0.0,0.51,2.16,1.28,0.0,0.0,0.0,1.28,0.0,0.0,0.88,0.0,0.0,21.36,37.01,24.69,0.0
9595,5.0,True,False,False,True,False,False,3.0,0.0,0.0,0.0,4.0,0.0,5.28,5.28,0.0,1.81,0.0,1.07,0.0,1.07,0.0,0.0,0.0,0.74,0.0,2.14,2.14,0.0,0.65,0.2,0.0,0.45,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03,0.0,0.0,8.54,34.32,10.73,0.0
9596,5.0,True,False,False,False,True,False,5.0,0.0,1.0,1.0,5.0,4.0,6.55,6.04,0.0,0.88,0.0,0.2,0.0,0.15,0.097,0.0,0.0,0.145,0.0,0.38,0.03,0.0,1.47,0.58,0.0,0.49,5.29,3.479,0.22,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,15.85,37.902,20.416,0.0
9597,2.0,False,True,False,False,True,False,2.0,0.0,3.0,1.0,3.0,3.0,8.05,8.05,0.0,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,3.92,2.26,1.66,0.79,0.1,0.0,0.69,4.87,4.55,1.88,0.0,0.0,2.67,0.0,0.0,0.0,0.0,0.32,11.01,30.55,12.4,0.0
9598,21.0,False,False,True,False,False,True,0.0,0.0,3.0,2.0,2.0,3.0,9.4,7.47,1.94,1.06,0.0,0.09,0.0,0.09,0.74,0.74,0.0,0.23,0.0,0.08,0.0,0.08,3.02,3.02,0.0,0.0,5.47,5.36,3.78,1.58,0.0,0.0,0.0,0.0,0.11,0.0,0.0,17.58,33.26,57.11,0.0
9599,1.0,False,True,False,False,True,False,5.0,4.0,2.0,1.0,6.0,3.0,3.74,3.25,0.49,0.56,0.0,0.53,0.0,0.53,0.0,0.0,0.0,0.03,0.0,1.02,0.35,0.67,1.57,1.57,0.0,0.0,3.84,3.6,3.6,0.0,0.0,0.0,0.0,0.0,0.07,0.17,0.0,1.79,32.68,4.39,0.0
9600,0.0,False,True,False,False,True,False,5.0,3.0,3.0,1.0,6.0,3.0,11.58,10.6,0.98,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,0.0,1.68,0.0,1.68,4.72,2.06,0.0,2.66,3.96,3.96,0.0,3.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.5,14.32,0.0
9601,0.0,True,False,False,False,True,False,5.0,0.0,3.0,1.0,5.0,2.0,3.74,3.74,0.0,1.42,0.0,0.0,0.0,0.0,1.42,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.29,0.0,0.0,5.08,5.05,0.0,2.46,0.0,2.59,0.0,0.0,0.03,0.0,0.0,5.24,39.34,11.01,0.0
9602,3.0,False,True,False,False,True,False,5.0,0.0,3.0,1.0,6.0,4.0,9.39,8.7,0.69,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.74,0.0,0.0,0.0,3.36,1.54,0.0,1.81,2.28,2.28,1.29,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.38,35.61,21.88,0.0
